"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/Tutorial/SubEditors/TutorialAssets/TutorialMaterial.TutorialMaterial","0","0","12","1","0.000000","0","0"
"/Engine/Tutorial/SubEditors/TutorialAssets/M_smoke_subUV_blackbody.M_smoke_subUV_blackbody","0","0","24","1","0.000000","0","0"
"/Game/Materials/Wallframe_Textures.Wallframe_Textures","0","0","21","1","0.000000","0","0"
"/Game/Materials/GlowingRed.GlowingRed","0","0","21","1","0.000000","0","0"
"/Game/Materials/GlowingGreen.GlowingGreen","0","0","12","1","0.000000","0","0"
"/Game/Materials/NotPressedButton.NotPressedButton","0","0","12","1","0.000000","0","0"
"/Game/Materials/PressedButton.PressedButton","0","0","12","1","0.000000","0","0"
"/Game/Materials/DarkRed.DarkRed","0","0","12","1","0.000000","0","0"
"/Game/Materials/DarkBLue.DarkBlue","0","0","21","1","0.000000","0","0"
"/Game/Materials/DarkGreen.DarkGreen","0","0","12","1","0.000000","0","0"
"/Game/Materials/DarkMagenta.DarkMagenta","0","0","12","1","0.000000","0","0"
"/Game/Materials/DarkPurple.DarkPurple","0","0","12","1","0.000000","0","0"
"/Game/Materials/DarkWood.DarkWood","0","0","21","1","0.000000","0","0"
"/Game/Materials/DarkYellow.DarkYellow","0","0","12","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/ImportedObjects/MedicalShkaf/MedicalShkafBase.MedicalShkafBase","0","0","24","1","0.000000","0","0"
"/Game/ImportedObjects/Ghost_Textures/Shade.Shade","0","0","24","1","0.000000","0","0"
"/Game/ImportedObjects/Ghost_Textures/Body.Body","0","0","24","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/NewBaseFlattenMaterial.NewBaseFlattenMaterial","0","465","34","4","156.153717","0","6421"
"/Game/Materials/BlackMetal.BlackMetal","0","0","33","1","0.000000","0","0"
"/Game/Materials/Glass.Glass","0","0","40","1","0.000000","0","0"
"/Game/ImportedObjects/Matress/Matress1.Matress1","0","0","21","1","0.000000","0","0"
"/Game/ImportedObjects/FloorCeiling/FloorCeiling.FloorCeiling","0","0","21","1","0.000000","0","0"
"/Game/ImportedObjects/MedicalShtorka/Metal.Metal","0","0","21","1","0.000000","0","0"
"/Game/ImportedObjects/MedicalShtorka/Fabric.Fabric","0","0","21","1","0.000000","0","0"
"/Game/ImportedObjects/ActionButtonBlock/Dark_Metal.Dark_Metal","0","0","24","1","0.000000","0","0"
"/Game/ImportedObjects/ActionButtonBlock/Light_Metal.Light_Metal","0","0","24","1","0.000000","0","0"
"/Game/Materials/LightWood.LightWood","0","0","12","1","0.000000","0","0"
"/Game/ImportedObjects/Vent/Vent1.Vent1","0","0","21","1","0.000000","0","0"
"/Game/Materials/BasicShapeMaterial.BasicShapeMaterial","0","0","21","1","0.000000","0","0"
"/Game/ImportedObjects/Main.Main","0","0","12","1","0.000000","0","0"
"/Game/ImportedObjects/Tip_001.Tip_001","0","0","12","1","0.000000","0","0"
"/Game/Materials/Walls.Walls","0","0","21","1","0.000000","0","0"
"/Game/ImportedObjects/Stool/Stool1.Stool1","0","0","21","1","0.000000","0","0"
"/Game/ImportedObjects/Cabinet/Output/Cabinet.Cabinet","0","0","21","1","0.000000","0","0"
"/Game/Materials/Top.Top","0","0","21","1","0.000000","0","0"
"/Game/Materials/CeilingMat.CeilingMat","0","0","21","1","0.000000","0","0"
"/Game/Materials/Bottom.Bottom","0","0","21","1","0.000000","0","0"
"/Game/ImportedObjects/Light_Metal.Light_Metal","0","0","24","1","0.000000","0","0"
"/Game/ImportedObjects/Dark_Metal.Dark_Metal","0","0","24","1","0.000000","0","0"
